Silent date topic max mean median min stdv sum rt st
0 20160802 MB226 21.28 6.92 6.58 4.94 0.87 115418.6 16 25
0 20160803 MB226 20.66 6.71 6.44 5.5 0.87 90250.94 16 25
0 20160804 MB226 22.2 6.76 6.46 4.81 0.91 90456.19 16 25
1 20160805 MB226 27.55 6.68 6.44 5.5 0.89 77968.23 16 25
0 20160806 MB226 20.17 7.05 6.69 5.04 0.81 89404.78 16 25
0 20160807 MB226 22.81 6.65 6.41 5.47 0.89 71467.17 16 25
0 20160808 MB226 20.91 7.11 6.78 5.13 0.79 73705.01 16 25
0 20160809 MB226 19.35 6.6 6.39 5.82 0.85 82443.07 16 25
1 20160810 MB226 27.34 6.94 6.64 4.99 0.86 97546.53 16 25
1 20160811 MB226 21.87 6.61 6.4 5.82 0.88 81610.41 16 25
1 20160802 MB229 30.75 9.34 9.05 8.12 1.91 36128.4 16 20
1 20160803 MB229 29.99 9.1 8.89 7.82 1.83 31217.84 16 20
1 20160804 MB229 28.68 9.07 8.86 7.84 1.69 30622.49 16 20
1 20160805 MB229 30.78 9.15 8.93 7.87 1.84 27089.68 16 20
1 20160806 MB229 31.74 9.52 9.2 8.34 1.91 25018.64 16 20
1 20160807 MB229 27.7 8.98 8.61 7.89 1.61 28885.36 16 20
1 20160808 MB229 28.58 9.38 9.05 7.36 1.97 26005.6 16 20
1 20160809 MB229 29.4 9.0 8.56 7.7 1.98 33634.25 16 20
1 20160810 MB229 29.62 9.23 9.0 6.92 1.73 33939.36 16 20
1 20160811 MB229 27.96 9.45 8.74 7.78 2.96 39426.6 16 20
0 20160802 MB230 18.45 8.43 8.31 6.65 0.78 50684.36 16 25
0 20160803 MB230 17.06 8.21 8.04 7.29 0.61 45549.45 16 25
0 20160804 MB230 17.7 8.38 8.31 7.37 0.74 40470.61 16 25
0 20160805 MB230 18.02 8.42 8.34 7.37 0.77 34350.89 16 25
1 20160806 MB230 17.22 8.5 8.31 7.37 0.63 38977.89 16 25
0 20160807 MB230 18.36 8.6 8.52 7.52 0.8 26848.82 16 25
0 20160808 MB230 17.97 8.82 8.53 7.1 0.67 25976.77 16 25
0 20160809 MB230 17.74 8.31 7.8 7.22 0.86 36788.15 16 25
0 20160810 MB230 18.72 8.37 8.33 7.3 0.88 49482.7 16 25
0 20160811 MB230 18.97 8.22 7.73 7.15 0.93 38646.71 16 25
0 20160802 MB239 20.21 8.49 8.02 7.08 1.1 34924.02 16 25
0 20160803 MB239 19.51 8.48 7.93 7.36 1.18 34144.79 16 25
0 20160804 MB239 19.52 8.42 7.91 6.97 1.12 30532.25 16 25
0 20160805 MB239 19.12 8.31 7.85 7.27 1.13 27762.77 16 25
0 20160806 MB239 18.42 8.75 8.24 7.66 1.02 26570.81 16 25
0 20160807 MB239 19.96 8.53 8.05 7.48 1.22 21749.12 16 25
1 20160808 MB239 20.71 8.9 8.36 6.98 1.23 18827.74 16 25
0 20160809 MB239 19.79 8.1 8.01 7.01 1.05 34769.46 16 25
1 20160810 MB239 29.09 8.35 8.21 6.38 1.25 38554.36 16 25
0 20160811 MB239 18.8 8.27 7.77 7.2 1.12 30200.76 16 25
1 20160802 MB254 19.03 9.03 8.67 8.1 0.6 21331.81 16 25
1 20160803 MB254 10.95 8.95 8.65 8.08 0.51 17692.24 16 25
0 20160804 MB254 19.04 9.05 8.74 8.16 0.76 16516.2 16 25
0 20160805 MB254 18.5 8.91 8.65 8.08 0.55 18575.66 16 25
0 20160806 MB254 10.81 9.3 9.07 8.37 0.44 15070.89 16 25
0 20160807 MB254 17.8 8.96 8.6 8.03 0.79 15675.28 16 25
0 20160808 MB254 18.76 9.48 9.33 8.22 0.79 11503.24 16 25
1 20160809 MB254 18.67 8.85 8.53 7.95 0.62 18008.15 16 25
0 20160810 MB254 18.24 9.18 9.04 8.35 0.54 18396.39 16 25
0 20160811 MB254 16.62 8.48 8.19 7.62 0.51 23786.21 16 25
1 20160802 MB256 35.17 9.38 7.8 5.6 3.35 119293.41 16 30
0 20160803 MB256 33.32 9.12 7.91 6.78 3.08 101282.62 16 30
1 20160804 MB256 24.4 8.99 7.78 6.86 2.98 93910.02 16 30
1 20160805 MB256 24.05 9.02 7.81 6.86 3.01 85238.25 16 30
1 20160806 MB256 38.29 9.28 8.05 6.09 3.02 78227.42 16 30
1 20160807 MB256 36.55 9.04 7.85 6.82 3.03 80451.09 16 30
1 20160808 MB256 24.23 9.43 8.03 5.66 3.12 69560.1 16 30
1 20160809 MB256 23.92 9.04 7.69 6.76 3.08 88829.78 16 30
1 20160810 MB256 33.44 8.96 7.79 6.01 2.89 100155.67 16 30
1 20160811 MB256 25.9 9.01 7.67 6.78 3.03 88735.02 16 30
1 20160802 MB258 26.8 7.34 6.89 5.96 1.07 85620.72 16 25
1 20160803 MB258 18.61 7.31 6.88 5.94 1.04 67396.55 16 25
1 20160804 MB258 18.76 7.3 6.86 6.29 1.04 68084.69 16 25
1 20160805 MB258 18.42 7.08 6.67 5.29 0.98 71327.6 16 25
1 20160806 MB258 19.11 7.53 7.09 5.71 1.09 59157.13 16 25
1 20160807 MB258 18.47 7.25 6.8 5.86 1.01 58344.54 16 25
1 20160808 MB258 20.44 7.52 7.09 6.15 1.03 51245.25 16 25
1 20160809 MB258 19.05 7.17 6.73 6.15 1.02 69351.7 16 25
1 20160810 MB258 25.91 7.55 7.08 5.7 1.06 69587.51 16 25
1 20160811 MB258 19.08 7.3 6.84 6.26 0.99 65925.53 16 25
1 20160802 MB265 20.51 9.17 8.64 8.06 1.75 18883.73 16 25
0 20160803 MB265 20.11 9.01 8.35 7.41 2.17 18225.42 16 25
1 20160804 MB265 19.74 8.88 8.44 7.06 1.65 15896.44 16 25
1 20160805 MB265 19.36 8.76 8.31 7.73 1.63 16707.26 16 25
0 20160806 MB265 20.73 9.09 8.68 7.29 1.35 14560.11 16 25
1 20160807 MB265 19.94 8.78 8.37 7.79 1.43 14379.07 16 25
1 20160808 MB265 20.26 9.16 8.79 7.13 1.43 11411.86 16 25
1 20160809 MB265 19.54 8.82 8.41 7.84 1.42 15544.41 16 25
1 20160810 MB265 21.93 9.08 8.66 7.28 1.4 16377.13 16 25
0 20160811 MB265 19.73 8.85 8.51 7.93 1.06 14408.16 16 25
1 20160802 MB267 26.83 8.42 8.14 6.99 1.29 90316.02 16 20
1 20160803 MB267 28.24 8.32 8.09 7.0 1.36 73853.68 16 20
1 20160804 MB267 27.7 8.26 7.97 7.03 1.24 76430.04 16 20
1 20160805 MB267 25.48 8.24 7.92 6.67 1.17 68457.25 16 20
1 20160806 MB267 21.17 8.49 8.11 6.49 1.21 69773.44 16 20
1 20160807 MB267 25.02 8.08 7.82 6.87 1.26 76310.54 16 20
1 20160808 MB267 27.83 8.56 8.3 6.6 1.22 57365.18 16 20
1 20160809 MB267 29.29 8.3 7.96 7.03 1.35 72010.56 16 20
1 20160810 MB267 29.92 8.43 8.13 6.41 1.34 82921.18 16 20
1 20160811 MB267 25.13 8.32 7.98 6.21 1.29 72390.63 16 20
1 20160802 MB276 26.3 8.77 8.54 7.65 1.14 53597.35 16 25
1 20160803 MB276 19.63 8.71 8.43 7.61 1.11 42142.0 16 25
1 20160804 MB276 18.62 8.75 8.35 7.56 1.38 42683.96 16 25
1 20160805 MB276 18.84 8.83 8.42 7.78 1.12 36166.35 16 25
0 20160806 MB276 20.5 9.0 8.57 7.58 1.1 35095.24 16 25
1 20160807 MB276 20.11 8.69 8.33 7.32 0.9 33413.07 16 25
1 20160808 MB276 19.68 9.23 8.8 7.81 1.12 24720.43 16 25
1 20160809 MB276 26.14 8.72 8.29 7.36 1.11 38588.56 16 25
1 20160810 MB276 27.97 8.93 8.51 7.13 1.22 42368.51 16 25
1 20160811 MB276 20.43 8.69 8.29 7.3 1.0 40048.78 16 25
1 20160802 MB286 29.91 7.99 7.37 5.28 2.16 212415.85 16 27
0 20160803 MB286 30.4 7.78 7.24 5.41 2.02 183097.51 16 27
1 20160804 MB286 25.11 7.69 7.21 5.83 1.89 181143.3 16 27
1 20160805 MB286 25.41 7.65 7.1 6.08 1.98 174184.32 16 27
1 20160806 MB286 27.56 8.03 7.34 5.69 2.03 155695.35 16 27
1 20160807 MB286 32.86 7.71 7.27 6.29 1.86 144083.26 16 27
1 20160808 MB286 25.67 8.03 7.47 5.42 2.05 142024.53 16 27
1 20160809 MB286 28.58 7.64 7.11 6.09 1.95 191749.03 16 27
1 20160810 MB286 24.84 7.9 7.39 5.43 2.1 216196.58 16 27
1 20160811 MB286 28.76 7.55 7.12 6.1 1.86 191017.68 16 27
1 20160802 MB319 30.19 9.67 9.45 7.8 1.16 24445.77 16 25
1 20160803 MB319 19.47 9.58 9.32 8.57 1.11 21332.61 16 25
1 20160804 MB319 29.12 9.68 9.41 8.72 1.11 18864.07 16 25
1 20160805 MB319 20.05 9.63 9.3 8.36 0.94 17851.47 16 25
1 20160806 MB319 28.93 10.02 9.68 9.04 1.05 15704.16 16 25
1 20160807 MB319 37.57 9.67 9.33 8.68 1.27 16059.69 16 25
1 20160808 MB319 30.14 10.1 10.01 8.51 1.31 11983.91 16 25
1 20160809 MB319 28.95 9.71 9.37 8.79 1.04 17329.05 16 25
1 20160810 MB319 29.84 10.06 9.69 8.71 1.39 17483.87 16 25
1 20160811 MB319 29.04 9.75 9.42 8.48 1.31 17379.24 16 25
1 20160802 MB320 24.55 10.74 10.7 9.67 0.99 5275.46 16 20
1 20160803 MB320 22.06 10.67 10.14 9.57 1.05 4675.37 16 20
