Silent date topic max mean median min stdv sum rt st
0 20160802 MB226 7.85 1.05 0.81 0.75 0.59 17513.71 3.0 9.0
0 20160803 MB226 8.59 0.94 0.73 0.71 0.64 12595.82 3.0 9.0
0 20160804 MB226 10.08 0.95 0.74 0.68 0.63 12771.67 3.0 9.0
1 20160805 MB226 9.99 0.9 0.73 0.71 0.65 10484.66 3.0 9.0
0 20160806 MB226 8.17 1.12 0.87 0.81 0.57 14186.7 3.0 9.0
0 20160807 MB226 10.66 0.88 0.72 0.69 0.65 9503.06 3.0 9.0
0 20160808 MB226 8.38 1.17 0.93 0.86 0.54 12105.13 3.0 9.0
0 20160809 MB226 7.32 0.86 0.71 0.69 0.63 10807.15 3.0 9.0
1 20160810 MB226 10.02 1.07 0.84 0.78 0.6 15020.5 3.0 9.0
1 20160811 MB226 9.23 0.87 0.71 0.7 0.65 10691.99 3.0 9.0
1 20160802 MB229 10.5 2.9 2.86 2.42 0.8 11211.29 3.0 6.0
1 20160803 MB229 11.04 2.7 2.85 2.16 0.84 9264.68 3.0 6.0
1 20160804 MB229 10.43 2.7 2.84 2.17 0.79 9120.72 3.0 6.0
1 20160805 MB229 10.53 2.74 2.9 2.2 0.83 8124.81 3.0 6.0
1 20160806 MB229 11.06 3.08 2.97 2.62 0.83 8081.9 3.0 6.0
1 20160807 MB229 8.85 2.59 2.36 2.22 0.7 8333.4 3.0 6.0
1 20160808 MB229 9.66 2.91 2.76 2.43 0.83 8066.86 3.0 6.0
1 20160809 MB229 9.85 2.57 2.55 2.05 0.84 9601.83 3.0 6.0
1 20160810 MB229 10.68 2.82 2.94 2.26 0.79 10375.91 3.0 6.0
1 20160811 MB229 8.46 2.66 2.48 2.12 0.9 11098.53 3.0 6.0
0 20160802 MB230 6.94 2.2 1.86 1.81 0.45 13247.97 3.0 7.0
0 20160803 MB230 4.56 2.03 1.72 1.7 0.41 11259.1 3.0 7.0
0 20160804 MB230 5.16 2.15 1.79 1.77 0.44 10368.14 3.0 7.0
0 20160805 MB230 5.46 2.19 1.79 1.77 0.5 8932.08 3.0 7.0
1 20160806 MB230 5.22 2.27 2.09 2.07 0.4 10391.47 3.0 7.0
0 20160807 MB230 5.78 2.32 1.91 1.89 0.52 7260.76 3.0 7.0
0 20160808 MB230 5.62 2.56 2.48 2.24 0.41 7530.56 3.0 7.0
0 20160809 MB230 5.08 2.09 1.66 1.65 0.57 9260.23 3.0 7.0
0 20160810 MB230 5.29 2.12 1.73 1.71 0.5 12547.18 3.0 7.0
0 20160811 MB230 5.52 2.03 1.6 1.59 0.59 9529.28 3.0 7.0
0 20160802 MB239 7.56 2.25 1.84 1.82 0.8 9277.71 3.0 8.0
0 20160803 MB239 6.67 2.22 1.77 1.76 0.68 8948.28 3.0 8.0
0 20160804 MB239 6.89 2.18 1.75 1.72 0.76 7895.67 3.0 8.0
0 20160805 MB239 6.34 2.11 1.7 1.69 0.78 7044.57 3.0 8.0
0 20160806 MB239 5.91 2.48 2.03 2.02 0.7 7522.12 3.0 8.0
0 20160807 MB239 7.32 2.3 1.87 1.86 0.79 5854.88 3.0 8.0
1 20160808 MB239 8.05 2.59 2.14 2.09 0.84 5470.11 3.0 8.0
0 20160809 MB239 7.15 1.86 1.49 1.47 0.78 7968.41 3.0 8.0
1 20160810 MB239 8.99 2.04 1.64 1.59 0.84 9416.19 3.0 8.0
0 20160811 MB239 6.02 2.05 1.64 1.62 0.78 7491.82 3.0 8.0
1 20160802 MB254 5.59 2.71 2.41 2.4 0.39 6396.93 3.0 6.5
1 20160803 MB254 4.61 2.63 2.4 2.38 0.33 5198.76 3.0 6.5
0 20160804 MB254 5.59 2.71 2.47 2.46 0.36 4946.4 3.0 6.5
0 20160805 MB254 5.08 2.54 2.4 2.38 0.2 5286.37 3.0 6.5
0 20160806 MB254 4.35 2.92 2.79 2.77 0.21 4737.63 3.0 6.5
0 20160807 MB254 5.25 2.58 2.35 2.34 0.34 4511.91 3.0 6.5
0 20160808 MB254 6.15 3.08 2.87 2.84 0.33 3730.41 3.0 6.5
1 20160809 MB254 5.87 2.53 2.29 2.27 0.35 5154.67 3.0 6.5
0 20160810 MB254 5.66 2.82 2.66 2.64 0.25 5663.77 3.0 6.5
0 20160811 MB254 4.66 2.23 1.99 1.98 0.35 6242.08 3.0 6.5
1 20160802 MB256 16.17 1.98 1.47 1.37 1.06 25202.4 3.0 6.0
