Silent date topic max mean median min stdv sum rt st
0 20160802 MB226 17.88 4.51 4.18 1.4 1.04 75255.53 10 18
0 20160802 MB226 17.88 4.51 4.18 1.4 1.04 75255.53 10 18
0 20160802 MB226 17.88 4.51 4.18 1.4 1.04 75255.53 10 18
0 20160802 MB226 17.88 4.51 4.18 1.4 1.04 75255.53 10 18
0 20160803 MB226 14.06 4.28 4.03 2.31 1.0 57596.1 10 18
0 20160803 MB226 14.06 4.28 4.03 2.31 1.0 57596.1 10 18
0 20160803 MB226 14.06 4.28 4.03 2.31 1.0 57596.1 10 18
0 20160803 MB226 14.06 4.28 4.03 2.31 1.0 57596.1 10 18
0 20160804 MB226 22.19 4.33 4.04 1.34 1.06 58007.04 10 18
0 20160804 MB226 22.19 4.33 4.04 1.34 1.06 58007.04 10 18
0 20160804 MB226 22.19 4.33 4.04 1.34 1.06 58007.04 10 18
0 20160804 MB226 22.19 4.33 4.04 1.34 1.06 58007.04 10 18
1 20160805 MB226 17.47 4.26 4.01 2.29 1.01 49702.33 10 18
1 20160805 MB226 17.47 4.26 4.01 2.29 1.01 49702.33 10 18
1 20160805 MB226 17.47 4.26 4.01 2.29 1.01 49702.33 10 18
1 20160805 MB226 17.47 4.26 4.01 2.29 1.01 49702.33 10 18
0 20160806 MB226 14.85 4.66 4.28 1.44 1.04 59100.53 10 18
0 20160806 MB226 14.85 4.66 4.28 1.44 1.04 59100.53 10 18
0 20160806 MB226 14.85 4.66 4.28 1.44 1.04 59100.53 10 18
0 20160806 MB226 14.85 4.66 4.28 1.44 1.04 59100.53 10 18
0 20160807 MB226 22.73 4.23 3.98 2.28 1.02 45469.57 10 18
0 20160807 MB226 22.73 4.23 3.98 2.28 1.02 45469.57 10 18
0 20160807 MB226 22.73 4.23 3.98 2.28 1.02 45469.57 10 18
0 20160807 MB226 22.73 4.23 3.98 2.28 1.02 45469.57 10 18
0 20160808 MB226 15.49 4.73 4.39 1.46 1.07 49019.31 10 18
0 20160808 MB226 15.49 4.73 4.39 1.46 1.07 49019.31 10 18
0 20160808 MB226 15.49 4.73 4.39 1.46 1.07 49019.31 10 18
0 20160808 MB226 15.49 4.73 4.39 1.46 1.07 49019.31 10 18
0 20160809 MB226 14.49 4.17 3.97 2.9 0.95 52101.92 10 18
0 20160809 MB226 14.49 4.17 3.97 2.9 0.95 52101.92 10 18
0 20160809 MB226 14.49 4.17 3.97 2.9 0.95 52101.92 10 18
0 20160809 MB226 14.49 4.17 3.97 2.9 0.95 52101.92 10 18
1 20160810 MB226 20.71 4.55 4.24 1.43 1.05 63886.9 10 18
1 20160810 MB226 20.71 4.55 4.24 1.43 1.05 63886.9 10 18
1 20160810 MB226 20.71 4.55 4.24 1.43 1.05 63886.9 10 18
1 20160810 MB226 20.71 4.55 4.24 1.43 1.05 63886.9 10 18
1 20160811 MB226 16.1 4.19 3.98 2.9 1.01 51777.1 10 18
