date max mean median min stdv sum topic n1 no st rt
20170729 17.45 4.81 4.32 3.12 1.27 36185.77 RTS101 0.6244 0.6119 20 12
20170730 20.63 5.21 4.67 1.54 1.34 33197.0 RTS101 0.6244 0.6119 20 12
20170731 28.94 5.29 4.69 3.39 1.34 33006.45 RTS101 0.6244 0.6119 20 12
20170801 35.4 5.24 4.66 3.36 1.36 34148.76 RTS101 0.6244 0.6119 20 12
20170802 31.94 4.97 4.45 3.22 1.56 35613.12 RTS101 0.6244 0.6119 20 12
20170803 31.79 5.07 4.45 3.22 1.82 41030.56 RTS101 0.6244 0.6119 20 12
20170804 27.78 4.58 4.06 2.93 1.28 53977.95 RTS101 0.6244 0.6119 20 12
20170805 25.72 4.95 4.35 3.14 1.37 38696.64 RTS101 0.6244 0.6119 20 12
20170729 16.01 5.71 5.17 3.59 1.35 41952.07 RTS104 0.1394 0.0519 16 12
20170730 16.97 5.97 5.5 3.14 1.36 40334.63 RTS104 0.1394 0.0519 16 12
20170731 17.12 5.79 5.24 3.65 1.37 43905.9 RTS104 0.1394 0.0519 16 12
20170801 16.43 5.79 5.25 3.68 1.36 43630.04 RTS104 0.1394 0.0519 16 12
20170802 17.44 5.74 5.32 3.01 1.33 39990.21 RTS104 0.1394 0.0519 16 12
20170803 14.81 5.69 5.17 3.66 1.29 47033.77 RTS104 0.1394 0.0519 16 12
20170804 17.02 5.73 5.18 2.93 1.38 45453.21 RTS104 0.1394 0.0519 16 12
20170805 17.44 5.9 5.26 3.72 1.42 37639.87 RTS104 0.1394 0.0519 16 12
20170729 24.88 5.88 5.67 2.98 1.37 22542.67 RTS105 0.4878 0.4878 13 10
20170730 19.27 5.98 5.68 1.37 1.3 28212.61 RTS105 0.4878 0.4878 13 10
20170731 17.62 6.17 5.88 3.06 1.33 25601.38 RTS105 0.4878 0.4878 13 10
20170801 16.3 6.1 5.39 3.04 1.43 24034.95 RTS105 0.4878 0.4878 13 10
20170802 17.62 6.16 5.96 3.1 1.4 20395.0 RTS105 0.4878 0.4878 13 10
20170803 23.5 6.12 5.46 3.95 1.44 22852.13 RTS105 0.4878 0.4878 13 10
