date max mean median min stdv sum topic n1 no st rt
20170729 7.99 1.37 0.99 0.98 0.85 10297.01 RTS101 0.6245 0.5745 10.0 3.0
20170730 11.73 1.64 1.21 1.14 0.9 10439.51 RTS101 0.6245 0.5745 10.0 3.0
20170731 15.79 1.75 1.27 1.26 0.86 10916.79 RTS101 0.6245 0.5745 10.0 3.0
20170801 19.08 1.71 1.25 1.23 0.88 11163.48 RTS101 0.6245 0.5745 10.0 3.0
20170802 13.02 1.53 1.08 1.07 0.99 10946.03 RTS101 0.6245 0.5745 10.0 3.0
20170803 15.83 1.58 1.08 1.07 1.11 12756.48 RTS101 0.6245 0.5745 10.0 3.0
20170804 14.94 1.13 0.78 0.76 0.87 13311.23 RTS101 0.6245 0.5745 10.0 3.0
20170805 11.96 1.44 0.98 0.97 0.89 11237.2 RTS101 0.6245 0.5745 10.0 3.0
20170729 6.37 1.91 1.71 1.52 0.58 14055.56 RTS104 0.1603 0.1603 6.0 3.0
20170730 6.5 2.1 1.92 1.63 0.62 14193.97 RTS104 0.1603 0.1603 6.0 3.0
20170731 5.65 1.99 1.76 1.56 0.6 15075.08 RTS104 0.1603 0.1603 6.0 3.0
20170801 4.67 2.01 1.78 1.6 0.6 15121.44 RTS104 0.1603 0.1603 6.0 3.0
20170802 5.53 1.98 1.84 1.54 0.6 13784.09 RTS104 0.1603 0.1603 6.0 3.0
20170803 7.08 1.94 1.69 1.59 0.57 16073.55 RTS104 0.1603 0.1603 6.0 3.0
20170804 5.71 1.98 1.71 1.65 0.59 15686.37 RTS104 0.1603 0.1603 6.0 3.0
20170805 5.57 2.06 1.81 1.69 0.6 13118.36 RTS104 0.1603 0.1603 6.0 3.0
20170729 16.28 2.31 1.85 1.81 0.81 8863.75 RTS105 0.4942 0.4942 10.0 3.0
20170730 8.73 2.32 2.15 1.79 0.69 10951.53 RTS105 0.4942 0.4942 10.0 3.0
20170731 11.49 2.5 2.41 1.93 0.72 10384.73 RTS105 0.4942 0.4942 10.0 3.0
20170801 12.61 2.5 1.92 1.89 0.78 9842.56 RTS105 0.4942 0.4942 10.0 3.0
20170802 12.3 2.56 2.01 1.98 0.8 8460.38 RTS105 0.4942 0.4942 10.0 3.0
20170803 12.94 2.58 2.0 1.98 0.81 9619.41 RTS105 0.4942 0.4942 10.0 3.0
20170804 12.15 2.44 1.93 1.91 0.83 9792.3 RTS105 0.4942 0.4942 10.0 3.0
20170805 4.82 2.37 1.92 1.89 0.75 8821.75 RTS105 0.4942 0.4942 10.0 3.0
20170729 9.45 0.52 0.32 0.27 0.59 15207.74 RTS106 0.4236 0.3736 8.5 6.0
20170730 9.7 0.57 0.36 0.32 0.64 16236.37 RTS106 0.4236 0.3736 8.5 6.0
20170731 9.16 0.53 0.33 0.3 0.62 16976.41 RTS106 0.4236 0.3736 8.5 6.0
20170801 8.61 0.52 0.32 0.31 0.63 17236.71 RTS106 0.4236 0.3736 8.5 6.0
20170802 7.87 0.52 0.32 0.3 0.61 16058.76 RTS106 0.4236 0.3736 8.5 6.0
20170803 9.28 0.55 0.34 0.31 0.6 17879.73 RTS106 0.4236 0.3736 8.5 6.0
20170804 7.43 0.55 0.33 0.31 0.59 18390.21 RTS106 0.4236 0.3736 8.5 6.0
20170805 9.67 0.52 0.32 0.3 0.58 15747.54 RTS106 0.4236 0.3736 8.5 6.0
20170729 14.39 1.94 1.58 1.46 0.84 15963.48 RTS111 0.5832 0.5707 9.5 6.0
20170730 14.43 2.14 1.9 1.58 0.81 16732.71 RTS111 0.5832 0.5707 9.5 6.0
20170731 13.11 1.83 1.44 1.38 0.79 18840.62 RTS111 0.5832 0.5707 9.5 6.0
20170801 13.0 1.76 1.41 1.3 0.76 19905.78 RTS111 0.5832 0.5707 9.5 6.0
20170802 8.25 1.84 1.51 1.35 0.77 17034.02 RTS111 0.5832 0.5707 9.5 6.0
20170803 7.84 1.79 1.4 1.35 0.77 19942.57 RTS111 0.5832 0.5707 9.5 6.0
20170804 13.39 1.79 1.4 1.37 0.77 20559.41 RTS111 0.5832 0.5707 9.5 6.0
20170805 12.8 1.98 1.72 1.43 0.74 16781.12 RTS111 0.5832 0.5707 9.5 6.0
20170729 8.69 2.17 1.67 1.65 0.84 8365.97 RTS113 0.159 0.159 6.0 3.0
20170730 8.72 2.42 1.86 1.81 0.89 8720.06 RTS113 0.159 0.159 6.0 3.0
20170731 12.21 2.41 2.23 1.86 0.87 9073.51 RTS113 0.159 0.159 6.0 3.0
20170801 12.17 2.25 1.69 1.68 0.97 9618.31 RTS113 0.159 0.159 6.0 3.0
20170802 12.03 2.19 1.63 1.61 0.9 8902.47 RTS113 0.159 0.159 6.0 3.0
20170803 8.05 2.31 1.77 1.67 0.84 9732.36 RTS113 0.159 0.159 6.0 3.0
20170804 8.12 2.3 1.8 1.78 0.83 9632.58 RTS113 0.159 0.159 6.0 3.0
20170805 8.38 2.39 1.88 1.85 0.84 7904.8 RTS113 0.159 0.159 6.0 3.0
20170729 9.21 2.73 2.57 2.14 0.74 10553.54 RTS114 0.5538 0.5538 10.5 3.0
20170730 9.06 2.88 2.47 2.45 0.7 10427.77 RTS114 0.5538 0.5538 10.5 3.0
20170731 9.94 2.74 2.55 2.27 0.72 13672.29 RTS114 0.5538 0.5538 10.5 3.0
20170801 8.81 2.76 2.47 2.34 0.64 12796.53 RTS114 0.5538 0.5538 10.5 3.0
20170802 8.57 2.67 2.42 2.16 0.69 11367.99 RTS114 0.5538 0.5538 10.5 3.0
20170803 11.36 2.48 2.26 2.06 0.66 14091.11 RTS114 0.5538 0.5538 10.5 3.0
20170804 10.31 2.54 2.51 1.97 0.72 14346.94 RTS114 0.5538 0.5538 10.5 3.0
20170805 8.78 2.89 2.67 2.34 0.71 10732.85 RTS114 0.5538 0.5538 10.5 3.0
20170729 8.61 2.45 1.96 1.94 0.8 6335.55 RTS115 0.6365 0.524 7.5 6.0
20170730 8.34 2.63 2.13 2.11 0.86 6269.24 RTS115 0.6365 0.524 7.5 6.0
20170731 12.3 2.37 1.86 1.84 1.03 7180.48 RTS115 0.6365 0.524 7.5 6.0
20170801 8.0 2.14 1.66 1.64 0.9 7967.35 RTS115 0.6365 0.524 7.5 6.0
20170802 8.23 2.08 1.64 1.62 0.82 7337.25 RTS115 0.6365 0.524 7.5 6.0
20170803 11.59 1.89 1.49 1.47 0.78 9926.6 RTS115 0.6365 0.524 7.5 6.0
20170804 8.81 2.04 1.64 1.62 0.75 9268.29 RTS115 0.6365 0.524 7.5 6.0
20170805 8.65 2.19 1.75 1.74 0.77 7407.01 RTS115 0.6365 0.524 7.5 6.0
20170729 5.58 1.68 1.47 1.39 0.46 14732.94 RTS116 0.1427 0.1427 6.0 3.0
20170730 5.81 1.8 1.57 1.51 0.55 14588.44 RTS116 0.1427 0.1427 6.0 3.0
20170731 5.19 1.59 1.45 1.26 0.52 16402.9 RTS116 0.1427 0.1427 6.0 3.0
20170801 7.36 1.58 1.36 1.3 0.51 16981.98 RTS116 0.1427 0.1427 6.0 3.0
20170802 6.37 1.61 1.37 1.33 0.5 15286.42 RTS116 0.1427 0.1427 6.0 3.0
