date max mean median min stdv sum topic n1 no st rt
20170729 21.36 7.37 6.89 6.32 1.15 55490.74 RTS101 0.7108 0.6358 24 19
20170730 24.42 7.74 7.21 5.56 1.23 49334.78 RTS101 0.7108 0.6358 24 19
20170731 40.8 7.9 7.3 6.73 1.21 49296.79 RTS101 0.7108 0.6358 24 19
20170801 50.37 7.86 7.26 6.69 1.33 51218.83 RTS101 0.7108 0.6358 24 19
20170802 39.66 7.61 7.03 6.45 1.71 54560.96 RTS101 0.7108 0.6358 24 19
20170803 45.71 7.73 7.03 6.45 2.21 62497.88 RTS101 0.7108 0.6358 24 19
20170804 39.68 7.02 6.52 5.95 1.29 82807.44 RTS101 0.7108 0.6358 24 19
20170805 31.48 7.47 6.87 6.3 1.34 58388.96 RTS101 0.7108 0.6358 24 19
20170729 18.87 8.26 7.98 7.07 1.1 60651.45 RTS104 0.0844 0.0594 18 16
20170730 19.97 8.45 8.12 7.18 1.06 57074.54 RTS104 0.0844 0.0594 18 16
20170731 19.0 8.32 7.92 7.12 1.07 63079.96 RTS104 0.0844 0.0594 18 16
20170801 18.7 8.34 7.94 7.16 1.05 62877.54 RTS104 0.0844 0.0594 18 16
20170802 19.24 8.3 8.01 7.07 1.01 57810.6 RTS104 0.0844 0.0594 18 16
20170803 19.2 8.26 7.84 7.16 0.98 68253.81 RTS104 0.0844 0.0594 18 16
20170804 18.93 8.31 7.86 6.92 1.12 65940.95 RTS104 0.0844 0.0594 18 16
20170805 19.24 8.45 8.22 7.28 1.16 53902.11 RTS104 0.0844 0.0594 18 16
20170729 34.51 8.6 8.46 7.08 1.15 32962.15 RTS105 0.4942 0.4942 20 14
20170730 27.54 8.59 8.39 6.11 0.96 40526.25 RTS105 0.4942 0.4942 20 14
20170731 24.16 8.82 8.6 7.21 0.94 36594.78 RTS105 0.4942 0.4942 20 14
20170801 24.76 8.8 8.55 7.17 1.08 34661.78 RTS105 0.4942 0.4942 20 14
20170802 24.46 8.89 8.65 7.27 1.21 29425.77 RTS105 0.4942 0.4942 20 14
20170803 25.1 8.89 8.61 7.62 1.18 33172.76 RTS105 0.4942 0.4942 20 14
20170804 24.83 8.72 8.43 7.54 1.11 35014.21 RTS105 0.4942 0.4942 20 14
20170805 16.63 8.66 8.26 7.16 0.95 32241.0 RTS105 0.4942 0.4942 20 14
20170729 27.44 5.76 5.4 4.03 1.14 169735.14 RTS106 0.4279 0.4279 21 10
20170730 28.54 5.89 5.56 4.18 1.19 168216.06 RTS106 0.4279 0.4279 21 10
